sampID	pop	.sample.id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
LP_24-00984	LP	62	-0.032975560147439284	2.1698390120545316e-4	0.042311049334075916	0.021128948488168826	-0.08630233875363999	-0.09775354948804707	-0.05362493605440556	0.0013076114778811793	0.023026692191255266	0.07291272255927951
LP_24-00985	LP	63	-0.3078269947232372	0.011328377470079695	-0.08614713603757738	0.24985006580977043	-0.19805716612491608	-0.20708258504128335	-0.0410244792122146	0.029460410365213272	0.1325717789219678	0.09076167314451061
LP_24-00986	LP	64	-0.4236900759647396	-0.07212577973628045	-0.06351199736159724	0.20530815020802518	-0.174173898821214	-0.19555909889944	-0.08419756229072152	0.07690621087145227	-0.05072513071846138	0.02529919628212358
LP_24-00987	LP	65	-0.04759379098055472	0.017179550691467756	0.03868754679215171	0.14641818728629205	-0.08851217339335714	-0.12816777672432977	-0.09550183593127329	-0.017870686221385868	-0.014839718567540891	0.1301907213961753
LP_24-00988	LP	66	0.03700378872028751	-0.0016756444245063606	0.04913037390824706	0.011788881890684718	-0.01610528956273999	-0.04016148471837169	0.00986959504813931	-0.032238454544669407	-0.009433116933219717	0.059908123773196015
LP_24-00989	LP	67	0.005554848823686027	-0.02711564235585162	-0.036257719450393536	-0.012974480693596828	-0.07735640702605728	0.008064041167102604	-0.007293139530826064	0.017502588250362043	-0.0181932779036628	-0.007919471452847252
LP_24-00990	LP	68	0.05642120556396497	0.03131720299910446	0.03055340691909171	0.005455062770806073	-0.01198299440387497	0.03045116606054144	0.020676385186821453	-0.06196517604767651	-0.058212929408264925	0.04192373542680846
LP_24-00991	LP	69	0.03960360607749924	-0.001807222107895113	0.03404253108456739	-0.04701715901127258	-0.0020663484836505965	-0.01771841779686611	0.017564115724651594	0.0051279567128104005	0.02449250553712959	0.06328042743941767
MB_24-12001	MB	70	0.035649697713282885	-0.0020421990008406754	0.015272569875942612	-0.010749865815029524	-0.02951576948004794	-0.016522917807728438	0.006012388137938045	0.01970657540930497	0.010951945529015813	0.01941860263754336
MB_24-12007	MB	71	0.043785757608744806	-0.004734240240054882	0.048210603451233604	-0.014733860240212967	-0.004165677385105614	0.008036540201102102	-0.011511944995514629	-0.015260323075015129	0.020928916220147656	0.005884317137306597
MB_24-12012	MB	72	0.017496345334811418	0.0172665045113881	0.07645699422141153	0.05454744561972417	4.500815888590303e-4	0.06037809652700671	0.04281880728287499	0.0730881461364206	0.0601076714294301	-0.10032633717077867
MB_24-12042	MB	73	0.021885550193902932	-0.0330484618380444	0.01618967126053641	0.03217649578547607	0.01062590132594025	0.03203700178696358	0.04449524968653555	0.05521409878355796	0.021340763121867674	-0.06409581654069113
MB_24-12043	MB	74	0.039679800224986746	-0.06191717347730217	-0.025114653716350365	-0.02495635479369867	0.017882746446938356	0.001805623133294021	0.05568165366091631	0.04137382955099973	0.001561702852219772	-0.04665582855388085
MB_24-12044	MB	75	0.026836412955987918	-0.041196164555750835	-0.005088014501478251	0.02845539320162132	-0.027866646529774074	1.331643069961766e-4	-9.141562524868849e-4	-0.01712025865949152	0.015207744524656064	-0.030192250347548452
MB_24-12045	MB	76	0.03936680186781164	-0.027943912173381623	0.0019289003021756628	-0.036557533359176775	0.019481908932364688	-4.6190027279357886e-4	0.07791426809180244	0.04429417908580848	7.981206802652125e-4	-0.021928566780691074
MB_24-12047	MB	77	0.002504878606669159	-0.05707608113466857	-0.0477830022189207	0.02012818435902428	0.00785085215771646	-0.007488910157267013	0.013391085158479182	0.023096844809440336	-0.0050854228107369386	-0.03214657286753006
MB_24-12051	MB	78	0.010610217550516486	-0.05705494863446096	-0.05131148287576068	0.0029582264628860606	0.014973998059945814	0.004882283585155391	0.011757098389617705	0.004267855301665166	0.006007856896292028	-0.027785174614760814
MB_24-12064	MB	79	-0.07397954222050387	0.08663114505442215	-0.06254141894399588	0.11901557507738367	0.049835864120165795	-0.005491645068697974	0.19489229460134183	-0.29792455362834724	0.35669283228938603	-0.12811332073602058
MB_24-12065	MB	80	0.005073287686041169	0.01860152169894334	0.005287069751992049	0.039565514709646574	0.013670939727674362	0.045968858381084964	0.10655389098478525	-0.12818443579982405	0.16667015331888058	-0.02088897179430256
MB_24-12066	MB	81	0.04567880866987699	-0.009661475033458492	0.035774137298429924	-0.009031980033250973	-0.04448983046774478	-0.05937328592276681	-0.015248867141599166	0.014957902717978758	0.013766256461624563	0.0542991753693779
MB_24-12067	MB	82	0.021441595217520055	0.06457798324822674	0.10163028495899595	-0.0416580863767579	0.015212953273765682	-0.020958910115474468	-0.031166381396459622	-0.03605444125675002	0.03406816037034826	0.052158402651409155
MB_24-12072	MB	83	0.06749508151119742	0.00533429070972123	0.08802747669295866	-0.02582017222732789	0.0010848319134881528	0.01755492902800155	0.007326663264413981	0.015502219242338744	0.02905549217257639	0.03359708829282202
