sampleID	genepop_pop	pop	.sample.id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
23-07495,	23-07451,	Pelee_Island	44	-0.025699763502536464	-0.04974306635160504	-0.07368002071958399	0.05876787080454359	0.002343629701519503	-0.05253887594666326	0.01849094935095938	0.10486331971326936	-0.005130528944607415
23-12172,	23-07451,	Pelee_Island	45	-0.05954364034930412	5.468137996278955e-4	-0.09784156316192728	-0.014530798152447778	-0.04107699536221763	-0.046134278960427356	0.049854271761607866	-0.038680806144998275	0.028994655802701018
23-12173,	23-07451,	Pelee_Island	46	-0.019755834809817907	-0.001162847393493077	0.0437684601086786	0.026828760398427496	0.03883099537208684	-0.03800567759406638	-0.0041686048368275355	0.05276473137094721	-0.03588034664559986
23-12174,	23-07451,	Pelee_Island	47	-0.12789991609288276	0.04278665153115661	0.08464252833192852	0.06028045373956124	-4.146570359811888e-4	0.04373245774714133	0.02975555643486976	-0.05919430425769685	0.09707064902699004
23-12175,	23-07451,	Pelee_Island	48	0.006676613759434431	-0.07877499350381426	-0.0456937794988182	-0.06690837063865918	0.0017734565440950486	-0.04071778061318302	0.04849430968709649	-0.027820056435059557	0.07631240921793164
23-12176,	23-07451,	Pelee_Island	49	0.05781008979669009	0.08782004604746531	-0.044935349333074553	0.0014947556355424105	-0.026083638479649885	0.042136407991043075	-0.054410592764694794	0.020500233726806878	0.0884527965947552
23-12177,	23-07451,	Pelee_Island	50	0.0235307938838601	0.08381921046598172	0.044670526032848906	0.03692207911404653	0.015988873889417277	-0.017353897946657763	0.07458509381466166	-0.058323399037140074	0.10554457163932644
23-12178,	23-07451,	Pelee_Island	51	-0.03015074293843642	0.08054321288230937	-0.06458491260535194	0.08993340263453702	-0.06614951296706728	-0.058776227459608636	-0.06470657764015159	-0.0038276535765881317	0.13207728224339663
23-12179,	23-07451,	Pelee_Island	52	-0.12629557238919242	0.049966541164223416	-0.0174355384511948	0.03211426739113583	0.045408428491606236	0.010668677688382082	0.01093022620404699	0.11253288581119603	-0.06434326492440368
23-12180,	23-07451,	Pelee_Island	53	0.00882989746832982	0.011785077775815807	-0.08642496553761149	0.001739041610175748	-0.0663287141068826	0.026014012379925865	0.06930431117153678	-0.004790898872572814	0.031110895601477513
23-12181,	23-07451,	Pelee_Island	54	0.04376650716178768	0.0011579358660610995	0.0375218824721379	-0.08686049843594826	0.060758292893276805	0.01361240324461363	0.07140923141099129	0.04046394539690555	0.0876391703488162
23-12182,	23-07451,	Pelee_Island	55	0.04496692301672693	0.015201986923705977	-0.004644330115479142	0.023892910193737127	0.052334985664927614	0.06276638395286835	-0.014572533872563995	0.06355467165093617	0.012599861385195935
23-12183,	23-07451,	Pelee_Island	56	-0.014244708718981123	-0.021141801547103288	-0.06235949053236255	0.014587132619928538	0.06229268963152828	0.08307293642355565	-0.036324979356129876	-0.04101116236357104	0.026425066333569443
23-12184,	23-07451,	Pelee_Island	57	-0.01367207754109244	-0.06978568021183539	0.02037104265665381	0.1006191793001691	-0.07790353857280974	-0.032418065052523926	0.035776243824459215	-0.03485605380811021	0.11102006820742887
23-12185,	23-07451,	Pelee_Island	58	-0.014886251863299081	0.05442735702657652	0.0037786423551769543	0.08290634715647652	-0.05533056940707723	-0.05979704462211024	-0.0031318836839597745	0.0013944776644274764	0.04434652072318253
23-12186,	23-07451,	Pelee_Island	59	0.005440172333787153	0.022763820318662833	0.021835644952750408	-0.0035499562873356955	0.0036284316293061962	-0.07010098050445351	-0.033058727704733046	0.011104529420490498	-0.014992460988247738
23-12187,	23-07451,	Pelee_Island	60	0.0056095852308582625	0.02031241668593325	-0.011735618733425338	0.023147817715732603	0.0092883658807302	0.04903467311834044	0.022414575500327275	-0.026024232430448522	0.07177604270980896
